date,headline,sub-headline
3/26/18,‘We Are Ready to Die.’ Five North Korean Defectors Who Never Made It.,"Around 30,000 North Koreans have successfully defected to the South. But under the reign of the North Korean leader Kim Jong-un, far fewer people are getting out.�"
3/26/18,"When Professionals Rise Up, More Than Money Is at Stake",The teacher uprising that began in West Virginia has exposed a trend among white-collar workers: a feeling that their credentials are being devalued.
3/27/18,Scores of Russians Expelled by U.S. and Its Allies Over U.K. Poisoning,"The mass expulsion of Russian personnel in the United States was the largest ever, yet the president avoided any public condemnation of Russia’s role in an attack in Britain."
3/27/18,How an Outraged Europe Agreed to a Hard Line on Putin,"Faced with new aggressiveness from the newly re-elected Putin, the E.U. backed Britain on the Skripal poisoning and sent a strong message to Moscow."
3/27/18,The Post-World War II Order Is Under Assault From the Powers That Built It,"Since the end of World War II, the victorious powers have promoted trade, democracy and collective security. Now, that order is under assault."
3/27/18,The E.P.A. Says It Wants Research Transparency. Scientists See an Attack on Science.,"A proposed policy would bar the E.P.A. from considering research that doesn't release its raw data for review, blocking some significant work."
3/28/18,At Least Twelve States to Sue Trump Administration Over Census Citizenship Question,Opponents said the question was certain to depress response to the census from noncitizens and even legal immigrants.
3/28/18,Trump Secures Trade Deal With South Korea Ahead of Nuclear Talks,"President Trump won his first bilateral trade deal this week, with South Korea, but whether it is a template for future agreements remains in question."
3/28/18,Medicare Is Cracking Down on Opioids. Doctors Fear Pain Patients Will Suffer.,"Officials are close to limiting doses of the painkillers, but doctors say doing so could put older patients into withdrawal or lead them to buy deadly street drugs."
3/28/18,Putin’s Grim Reality: Public Fury Over Children’s Deaths in Mall,The Russian president visited Siberia to demand an inquiry into a fire there that killed at least 64 people. Thousands protested nearby.
3/29/18,Trump’s Lawyer Raised Prospect of Pardons for Flynn and Manafort,The episode raises questions about whether the president’s lawyer was trying to influence Mr. Trump’s former advisers and their cooperation with the special counsel.
3/29/18,"Under Ben Carson, HUD Scales Back Fair Housing Enforcement","The department is aiming to roll back Obama administration attempts to curtail racial, ethnic and income segregation in federally subsidized housing and development projects."
3/29/18,Kim Jong-un’s China Visit Strengthens His Hand in Nuclear Talks,The North Korean leader’s first diplomatic trip since taking power was a reminder of how much he has set the agenda over his nation’s nuclear arsenal.
3/29/18,Morgan Stanley Knew of a Star’s Alleged Abuse. He Still Works There.,A top Morgan Stanley broker was repeatedly accused of violence against ex-wives and girlfriends. Bank managers were told. But he kept his job.
3/30/18,E.P.A. Prepares to Roll Back Rules Requiring Cars to Be Cleaner and More Efficient,"The Trump administration, handing automakers a victory, is preparing to announce an effort to weaken strict Obama-era pollution standards."
3/30/18,"Wooing Saudi Business, Tabloid Mogul Had a Powerful Friend: Trump","A dinner at the White House helped David J. Pecker, whose company owns The National Enquirer, showcase his connections as he sought to expand into Saudi Arabia."
3/30/18,"Expelling Diplomats, a Furious Kremlin Escalates a Crisis","The move was in retaliation for the expulsion of diplomats by Britain, the United States and their allies. The U.S. Consulate in St. Petersburg will be closed."
3/30/18,"Venezuela, Accustomed to Tragedy, Is Shaken Again by Horrific Jail Fire","With at least 68 dead, the inferno in Valencia was one of the worst in the country’s modern history."
3/31/18,Trump Advisers Urge Tougher Russia Policy After Expulsions,"As diplomats pack their bags, some senior American officials are pressing for a more aggressive approach, but President Trump remains unconvinced."
3/31/18,"Stephon Clark Was Shot 8 Times Primarily in His Back, Family-Ordered Autopsy Finds",A lawyer for the family said the findings proved that Mr. Clark could not have been moving in a threatening fashion toward Sacramento officers when they opened fire.
3/31/18,Israeli Military Kills 15 Palestinians in Confrontations on Gaza Border,"What was promoted as a six-week campaign of peaceful protests, with thousands of Palestinians in tent cities, descended quickly into deadly violence."
3/31/18,"Sessions and Kushner Square Off, and Prisoners Hang in the Balance","Tensions over criminal justice policy have pitted the president’s son-in-law against his attorney general, and resulted in a seesawing approach to prisons."
4/1/18,"When Bail Feels Less Like Freedom, More Like Extortion","As bail has grown into a $2 billion industry, bond agents have become the payday lenders of the criminal justice world, offering quick relief to desperate customers at high prices."
4/1/18,The Taliban Have Gone High-Tech. That Poses a Dilemma for the U.S.,"American commanders have been forced to consider loosening restrictions on access to night-vision devices for Afghan forces, even though they fear the equipment could be lost or sold underground."
4/1/18,"At the Justice Dept.’s Death Penalty Unit, Accusations of Favoritism, Gender Bias and Unwanted Groping","For years, employees complained about the behavior of the head of the division, Kevin Carwile, and what they viewed as a toxic culture."
4/1/18,"Hey, Alexa, What Can You Hear? And What Will You Do With It?","Amazon and Google have filed patent applications, many still under consideration, that outline how digital assistants can monitor more of what users say and do."
4/2/18,"Where Companies Welcome Refugees, the More, the Better","In a tight labor market, positions in poultry plants and lumber mills can be tough to fill. But that spells opportunity for recruiters like Ray Wiley."
4/2/18,"After Gun Control Marches, ‘It’ll Go Away’ vs. ‘We Are Not Cynical Yet’","Advocates as well as opponents of gun control, both plotting next steps after the March for Our Lives rally, think their adversaries will eventually tire."
4/2/18,‘I Can’t Stop’: Schools Struggle With Vaping Explosion,School and health officials struggling with a sudden influx of easily concealed e-cigarettes fear vaping is creating a new generation of nicotine addicts.
4/2/18,"As Authoritarianism Spreads, Uzbekistan Goes the Other Way","Bucking a global trend, Uzbekistan’s new leader is reining in the secret police, releasing political prisoners and allowing some freedom of expression."
4/3/18,Looming China Trade Action Divides Industry and Roils Markets,"Companies are united around the idea of addressing China’s unfair trade practices, but details of the president’s plan have set off fierce opposition."
4/3/18,Trump’s Immigration Tweets Followed by Policy Plans to Match,"President Trump has begun a new push for legislation to crack down on illegal immigration and make it more difficult to obtain refuge in the United States, White House officials said Monday."
4/3/18,Russia Presses Trump for White House Meeting With Putin,"The Kremlin said it hoped President Trump would follow through on his proposal for such a session, made before last week’s tit-for-tat expulsion of diplomats."
4/3/18,Pruitt Had a $50-a-Day Condo Linked to Lobbyists. Their Client’s Project Got Approved.,The E.P.A. chief was using an apartment partly owned by the wife of the chairman of the lobbying firm as its client sought the agency’s sign off on a pipeline project.
4/4/18,Trump Plans to Send National Guard to the Mexican Border,"The White House said Tuesday night that President Trump plans to deploy the National Guard to confront what it called a growing threat of illegal immigrants, drugs and crime from Central America."
4/4/18,Where Today’s Black Church Leaders Stand on Activism,"Fifty years after Dr. Martin Luther King Jr.’s assassination, black pastors are issuing a call to action and using different methods to achieve common goals."
4/4/18,"Inside a Private Prison: Blood, Suicide and Poorly Paid Guards","A trial in Mississippi provides a rare glimpse into a world where mistreatment of inmates is commonplace, at a time when the Trump administration wants to expand the use of private prisons."
4/4/18,Amazon Has Lots of Company as Trump Slams ‘Stupid’ Businesses,"Tech firms, military contractors, carmakers, cellphone companies, financial firms, sports leagues and Wall Street giants are all in his Twitter cross hairs."
4/5/18,White House Tries to Tamp Down Trade War Fears as China Retaliates,"As markets seesawed and industries fretted, American officials held out the possibility that tariffs outlined this week might never go into effect."
4/5/18,"In Sparing Consumers Tariff Burden, Trump Hit Manufacturing","If the tariffs stand, along with China’s retaliatory moves, they could damage industries that have relied on a global supply chain for their recovery."
4/5/18,Facebook Says Cambridge Analytica Harvested Data of Up to 87 Million Users,"Mr. Zuckerberg, Facebook’s chief executive, will appear before multiple congressional committees next week. It is part of the company’s efforts to be more open about its work."
4/5/18,‘The Business of War’: Google Employees Protest Work for the Pentagon,Thousands of employees have signed a letter calling on their C.E.O. to pull out of a project that could be used to improve drone strike targeting.
4/6/18,E.P.A. Officials Sidelined After Questioning Scott Pruitt,"At least five agency officials were reassigned or demoted, or requested new jobs after raising concerns about the administrator’s security demands and spending."
4/6/18,Trump Doubles Down on Potential Trade War With China,President Trump said he would consider tariffs on $100 billion more in Chinese goods in retaliation for Beijing’s plan to set levies on American products.
4/6/18,"Under Trump, an Office Meant to Help Refugees Enters the Abortion Wars",One small government office has become the flash point in the debate over the administration’s embrace of socially conservative policy.
4/6/18,John Kasich Is Back in New Hampshire. It’s Not for the Foliage.,"On the itinerary for the Ohio governor and 2016 presidential hopeful: a diner visit, a Q. and A. at a college and criticism of President Trump amid speculation about a 2020 run."
4/7/18,"More Jobs, Faster Growth and Now, the Threat of a Trade War","In his inaugural speech, the new Fed chairman tried to focus on the strength of the economy even as a spiraling tariff battle with China spooked investors."
4/7/18,"U.S. and China Play Chicken on Trade, and Neither Swerves","Victory could be difficult to verify, much less achieve, as the U.S. protests Beijing’s effort to retool Chinese industries for the 21st century."
4/7/18,Pompeo and Bolton Appointments Raise Alarm Over Ties to Anti-Islam Groups,"Mike Pompeo is President Trump’s pick to be the next secretary of state, and John R. Bolton is the choice for national security adviser. Civil rights groups are concerned."
4/7/18,"Oprah, Rupert Murdoch, Harvard: Saudi Prince’s U.S. Tour","The heir to Saudi Arabia’s throne has been on an extraordinary tour of the United States, seeking investment and trying to change perceptions of the opaque, conservative kingdom."
4/8/18,Farmers’ Anger at Trump Tariffs Puts Republican Candidates in a Bind,"President Trump is moving to fulfill one of his central campaign promises, but a get-tough stance with China could reverberate badly in the nation’s heartland."
4/8/18,Ex-President ‘Lula’ of Brazil Surrenders to Serve 12-Year Jail Term,The imprisonment of the former President Luiz Inácio Lula da Silva was a remarkable fall for a statesman who transformed Brazil — and who was leading in the polls for October’s presidential election.
4/8/18,"In 83 Million Eviction Records, a Sweeping and Intimate New Look at Housing in America",A Princeton sociologist chronicled the human toll of eviction in one city in a 2016 book. A new project may reveal just how widespread the problem is.
4/8/18,Denver Post Rebels Against Its Hedge-Fund Ownership,"Facing the loss of more than two dozen newsroom jobs, the beleaguered newspaper is printing an editorial blasting Alden Global Capital: “We call for action.”"
4/9/18,Dozens Suffocate in Syria as Government Is Accused of Chemical Attack,"President Trump denounced the attack that killed at least 42 people and that left hundreds with “symptoms indicative of exposure to a chemical agent,” according to aid groups."
4/9/18,"As Trump Seeks Way Out of Syria, New Attack Pulls Him Back In",A reported chemical attack on a Damascus suburb seems to raise the political and military stakes as President Trump charts the United States’ future in Syria.
4/9/18,‘You Are the Product’: Targeted by Cambridge Analytica on Facebook,Facebook plans to begin notifying users on Monday who were affected by Cambridge Analytica’s data collection. The Times has already spoken with some people whose data was taken.
4/9/18,Republicans Seize on Impeachment for Edge in 2018 Midterms,Invoking the specter of President Trump’s impeachment has become a fund-raising and get-out-the-vote tactic for Republicans. Democratic leaders see the issue as a trap.
4/10/18,F.B.I. Raids Office of Trump’s Longtime Lawyer Michael Cohen; Trump Calls It ‘Disgraceful’,"Mr. Cohen is at the center of several aspects of the special counsel’s investigation. He also acknowledged paying $130,000 to Stephanie Clifford, who said she had a sexual encounter with Mr. Trump."
4/10/18,"Mueller Investigating Ukrainian’s $150,000 Payment for a Trump Appearance",The payment was made as a donation to the Trump Foundation in exchange for a 20-minute talk Mr. Trump gave in the early months of his campaign.
4/10/18,"After Chemical Weapons Attack in Syria, Trump Weighs Retaliation","The president said Syria’s patrons in Russia and Iran may also be responsible for enabling last weekend’s chemical attack. “Everybody’s going to pay a price,” he said."
4/10/18,Iran-Israel Conflict Escalates in Shadow of Syrian Civil War,"Airstrikes on a Syrian military base killed four Iranian advisers, part of the Iranian military presence in Syria that Israel is trying to block."
4/11/18,Raids on Trump’s Lawyer Sought Records of Payments to Women,"The early-morning searches enraged the president, associates said, and he is said to be considering whether to fire Rod J. Rosenstein, the deputy attorney general."
4/11/18,"Michael Cohen, ‘Ultimate Trump Loyalist,’ Now in the Sights of the F.B.I.","A series of disclosures have revealed the unusual range of Michael D. Cohen’s portfolio, and a federal investigation poses a legal threat to him and possibly his client, the president."
4/11/18,Trump Weighs More Robust Military Strike Against Syria,"The president is looking at options that would go beyond last year’s missile barrage, which did not curb Syria’s war effort in the long run."
4/11/18,Mark Zuckerberg Testifies on Facebook Before Skeptical Lawmakers,The Facebook chief executive endured almost five hours of questioning from lawmakers who appeared uncomfortable with the technology company’s dominance.
4/12/18,Paul Ryan Upends Republican Hopes and Plans for Midterm Elections,"Mr. Ryan’s retirement could make it easier for Democrats to win control of the House, Republicans say. The speaker had raised more than $54 million for the 2018 elections."
4/12/18,Trump Says Missiles ‘Will Be Coming’ at Syria. Beyond That Lies Uncertainty.,"A strike in response to a suspected chemical attack comes with perils that worry military planners and diplomats, and a fresh intervention in a combustible region could bring unintended consequences."
4/12/18,Kidnapped as Schoolgirls by Boko Haram: Here They Are Now,"The New York Times met and photographed dozens of the students abducted by Boko Haram. Now at a university, they say they are the lucky ones. But their celebrity has a price."
4/12/18,I Downloaded the Information That Facebook Has on Me. Yikes.,"Using a tool that Facebook offers its users, our columnist found out more than he wanted to know about the social network, the ad industry and himself."
4/13/18,"Mattis Tries to Put Brakes on Possible Syria Strike, to ‘Keep This From Escalating’",Defense Secretary Jim Mattis demanded evidence of the Syrian government’s role in a suspected chemical attack to justify military action — and mute Russian criticism.
4/13/18,Trump Plans to Pardon Scooter Libby for Perjury in C.I.A. Leak Case,"The president’s action would wipe out the perjury and obstruction convictions of Mr. Libby, who was Vice President Dick Cheney’s chief of staff."
4/13/18,"At E.P.A., Pruitt’s ‘Sheriff’ Clashed With Critics of Spending",The head of Scott Pruitt’s protective detail is at the center of inquiries into excessive spending and possible violations of contracting rules.
4/13/18,Trump Proposes Rejoining Trans-Pacific Partnership,"The president said his advisers would look into rejoining a trade deal he withdrew from last year, as the White House tries to help farmers who will be hurt by its trade measures."
4/14/18,"U.S., Britain and France Strike Syria Over Suspected Chemical Weapons Attack",The strikes sought to punish the Syrian government after what Western officials said was a deadly chemical attack in a Damascus suburb that had been held by rebels.
4/14/18,Trump Sees Inquiry Into Cohen as Greater Threat Than Mueller,"As prosecutors revealed a monthslong fraud investigation of Michael D. Cohen, President Trump’s personal lawyer and fixer, Mr. Trump called Mr. Cohen on Friday to “check in.”"
4/14/18,R.N.C. Official Who Agreed to Pay Playboy Model $1.6 Million Resigns,"The official, Elliott Broidy, quit amid news of a deal he struck with a woman who became pregnant during an affair. The payout was arranged by President Trump’s lawyer Michael D. Cohen."
4/14/18,Trump Calls Comey ‘Untruthful Slime Ball’ as Book Details Released,"President Trump, who fired James B. Comey as his F.B.I. director, took to Twitter on Friday morning to disparage him as a leaker and liar."
4/15/18,Pentagon Says Syria Strikes Hit ‘Heart’ of Chemical Weapons Program,"Warplanes and ships from the United States, Britain and France launched more than 100 missiles at three chemical weapons storage and research facilities near Damascus and Homs, officials said."
4/15/18,‘Mission Accomplished!’ But What Is the Mission in Syria?,"The strike on chemical arms sites reflected President Trump’s competing impulses: an effort to demonstrate strength countered by a view that involvement in the Middle East since the attacks of Sept. 11, 2001, has been a waste."
4/15/18,A Hard Lesson in Syria: Assad Can Still Gas His Own People,"The conflict in Syria has demonstrated a larger truth: While it is easy to blow up its chemical facilities, it is also relatively simple for the Assad government to reconstitute them elsewhere."
4/15/18,How Profiteers Lure Women Into Often-Unneeded Surgery,"An alliance of law firms, marketers, finance companies and doctors makes money by coaxing women to have their mesh implants removed."
4/16/18,Trump to Impose New Sanctions on Russia Over Support for Syria,"Nikki Haley, the ambassador to the United Nations, said Russian companies that have supported Syria’s chemical weapons would be targeted on Monday."
4/16/18,"After U.S. Strikes, Syria Returns to War as Usual",The strikes were calibrated to keep the West from being dragged further into war. That left President Bashar al-Assad in power and Syria in its painful status quo.
4/16/18,‘They Eat Money’: How Mandela’s Political Heirs Grow Rich Off Corruption,"Since apartheid ended, African National Congress leaders have siphoned off tens of billions of dollars. Will South Africa’s new government confront such epic graft?"
4/16/18,"Comey, in Interview, Calls Trump ‘Morally Unfit’ and ‘Stain’ on All Around Him","ABC News interviewed James B. Comey, the former F.B.I. director, as he uses a publicity blitz for his memoir to raise alarms about Mr. Trump."
4/17/18,"Trump Declines to Add Sanctions Against Russians, Contradicting Haley",The administration reversed course a day after announcing that it would penalize Russian companies for facilitating Syria’s chemical weapons program.
4/17/18,Judge Says Trump and Cohen Can’t Yet Review Materials Seized by FBI,"The judge said she was considering appointing a special master to assist in the review, and that Mr. Trump would ultimately receive copies of the documents that pertain to him."
4/17/18,"Sean Hannity Is Named as Client of Michael Cohen, Trump’s Lawyer","Lawyers for Mr. Cohen, the president’s personal lawyer, had sought to keep Mr. Hannity’s identity a secret in a court challenge of an F.B.I. search of Mr. Cohen’s office."
4/17/18,James Comey’s Attacks on Trump May Hurt a Carefully Cultivated Image,"In media appearances aimed in part at increasing book sales, Mr. Comey is criticizing the president in personal ways that are unusual for a former F.B.I. director."
4/18/18,"Mike Pompeo, C.I.A. Director, Met With Kim Jong-un in North Korea",The president alluded to the mission on Tuesday when he said that the United States was in direct talks with North Korea at “extremely high levels.”
4/18/18,Huawei and ZTE Hit Hard as U.S. Moves Against Chinese Tech Firms,The U.S. and China are threatening a global trade war as they look to protect their most advanced industries.
4/18/18,San Francisco’s Big Seismic Gamble,The city’s building code does not protect its people from earthquakes nearly as much as you might think.
4/18/18,Sanctions Flap Erupts Into Open Conflict Between Haley and White House,"A top White House official said Nikki Haley experienced “momentary confusion” by announcing new sanctions on Russia. “I don’t get confused,” she replied."
4/19/18,"If North Korea Talks Are Not Fruitful, ‘I Will Respectfully Leave,’ Trump Says","As the momentum grows for a meeting with the North Korean leader, President Trump acknowledged that it was a risky undertaking, and one that could still end in failure."
4/19/18,"Inside Southwest Flight 1380, 20 Minutes of Chaos and Terror","“Dear Jesus, send some angels.” Passengers feared they would die as an engine exploded, plunging the plane thousands of feet in a minute."
4/19/18,Puerto Rico Is Once Again Hit by an Islandwide Blackout,"The major failure, nearly seven months after Hurricane Maria ravaged Puerto Rico, could take up to 36 hours to fix."
4/19/18,"Raúl Castro Prepares to Resign as Cuba’s President, Closing a Dynasty","Without the Castro legacy to rely on, his successor will face a minefield of tasks that even Mr. Castro failed to complete."
4/20/18,"North Korea Drops Troop Demand, but U.S. Reacts Warily","North Korea’s leader will no longer demand that American troops leave South Korea, the South’s president said, but American officials dismissed the idea that it was a capitulation."
4/20/18,Wells Fargo Said to Be Target of $1 Billion U.S. Fine,"Two federal regulators are expected to penalize the bank for its alleged misconduct, people familiar with the action said."
4/20/18,Giuliani to Join Trump’s Legal Team,"Rudolph W. Giuliani, the former New York City mayor and longtime Trump loyalist, will be part of a legal stable as the president faces the Russia investigation."
4/20/18,A Marriage Used to Prevent Deportation. Not Anymore.,"For decades, marriage to a United States citizen has been a virtual guarantee of legal residency. It isn’t anymore under the Trump administration."
4/21/18,"‘We No Longer Need’ Nuclear or Missile Tests, North Korean Leader Says",The announcement by Kim Jong-un came less than a week before he meets with the president of South Korea.
4/21/18,Sanctions Are Hurting North Korea. Can They Make Kim Give In?,The isolated North is finding ways to cope with tough new penalties. Is the economic pressure enough to get Kim Jong-un to give up his weapons?
4/21/18,Michael Cohen Has Said He Would Take a Bullet for Trump. Maybe Not Anymore.,"Roger Stone says Mr. Trump has long treated Mr. Cohen, his lawyer and fixer, “like garbage.” Now he could end up cooperating in a criminal investigation against Mr. Trump."
4/21/18,Pressure to Release Comey Memos May Have Backfired on G.O.P.,"The deputy attorney general’s decision to release the memos did little to help Republicans undermine the credibility of James B. Comey, the former F.B.I. director."
4/22/18,"Scott Pruitt Before the E.P.A.: Fancy Homes, a Shell Company and Friends With Money",The E.P.A. chief is under scrutiny for high spending and interactions with lobbyists. Many of the pitfalls he has encountered in Washington have echoes in his past.
4/22/18,Where Countries Are Tinderboxes and Facebook Is a Match,"False rumors set Buddhist against Muslim in Sri Lanka, the most recent in a global spate of violence fanned by social media."
4/22/18,"What Does Kim Jong-un Want? U.S. Fears Answer Is ‘Give a Little, Gain a Lot’","In Washington, most officials and experts believe that the North Korean leader is determined to cement his country’s status as a nuclear state while escaping the chokehold of economic sanctions."
4/22/18,"As Rod Rosenstein Battles to Protect Mueller, His Tactics Could Cost the Justice Dept.","Under siege by the president’s allies in the House, Mr. Rosenstein has acceded to some demands. But his allies worry that may expose the Justice Department to political meddling."
4/23/18,Public Servants Are Losing Their Foothold in the Middle Class,"Even as private employers have rebounded from the recession, the public sector’s ranks have withered, and pay and benefits have lagged."
4/23/18,"By Stifling Migration, Sudan’s Feared Secret Police Aid Europe","Europe is outsourcing border management to distant countries, hoping to stop migrants before they cross the Mediterranean. But there may be a high moral cost."
4/23/18,Inside One of America’s Ugliest Political Feuds: Cuomo vs. de Blasio,"How did two Democrats, whose politics and goals often mesh, allow their onetime friendship to deteriorate to the point of pure contempt?"
4/23/18,"Macron Takes a Risk in Courting Trump, but Has Little to Show for It","The French president leaves on Monday for a state visit to Washington, where he will try, once again, to close the gap with President Trump on climate change, Iran and trade."
4/24/18,Emmanuel Macron to Press Trump to Keep Iran Nuclear Deal,"As he arrives for the first state visit of Mr. Trump’s administration, Mr. Macron, the French president, hopes to persuade the American leader not to scrap the agreement with Tehran."
4/24/18,Toronto Van Driver Kills at Least 10 People in ‘Pure Carnage’,More than a dozen other people were injured in what was one of the worst mass killings in the modern history of Canada. The police said the driver was in custody.
4/24/18,The Fight for Wisconsin Is On as Outside Money Pours Into Senate Race,National Democrats were shocked in 2016 when a Republican presidential nominee carried Wisconsin for the first time since 1984. Now both parties see a key Senate race as a crucial test before 2020.
4/24/18,Waffle House Shooting Suspect Once Had His Guns Taken Away. He Got Them Back.,Officials took the Nashville shooting suspect’s guns after a run-in at the White House last year. But his father gave the guns back.
4/25/18,"After Trump Hints V.A. Nominee Might Drop Out, an Aggressive Show of Support",The Senate Veterans’ Affairs Committee is examining multiple claims against President Trump’s nominee to head the Veterans Affairs Department.
4/25/18,Trump Signals Openness to a ‘New Deal’ to Constrain Iran,"As he welcomed President Emmanuel Macron of France, President Trump also expressed hope for a nuclear agreement with North Korea and called Kim Jong-un “very honorable.”"
4/25/18,F.D.A. Cracks Down on ‘Juuling’ Among Teenagers,"The agency has begun an aggressive campaign to target retailers and manufacturers that market e-cigarettes to minors. The devices’ popularity has alarmed parents, schools and public health officials."
4/25/18,"Jeff Sessions Is Serving, and Doing His Best to Ignore, Trump","Crisscrossing the nation, the embattled attorney general praises the president for supporting law enforcement — most law enforcement, anyway."
4/26/18,Key Justices Seem Skeptical of Challenge to Trump’s Travel Ban,"By the end of the argument, the Supreme Court’s conservative majority seemed ready to defer to the president’s national security judgments and discount his campaign promises to impose a “Muslim ban.”"
4/26/18,Inside the Confidential N.F.L. Meeting to Discuss National Anthem Protests,"“Let’s make sure that we keep this confidential,” Roger Goodell said to begin the session. The New York Times obtained an audio recording of the meeting."
4/26/18,Don Blankenship Is a West Virginia Senate Candidate. He Lives in Nevada.,"The former coal mining executive, a strong supporter of President Trump who is running as an “American competitionist,” has refused to disclose his personal finances as required by law."
4/26/18,New Allegations Emerge Against Ronny Jackson as White House Digs In,"Accusations that Dr. Ronny L. Jackson, the president’s pick to lead the Department of Veterans Affairs, mishandled an opioid and wrecked a car while intoxicated surfaced in a document compiled by the Democratic staff of a Senate panel."
4/27/18,Bill Cosby Is Found Guilty of Sexual Assault,A jury in Pennsylvania voted to convict Mr. Cosby of sexually assaulting a former Temple University staff member who had looked up to him as a mentor.
4/27/18,Cliff Huxtable Was Bill Cosby’s Sickest Joke,"Mr. Cosby’s signature TV character was a patient, wise father figure. In other words, our critic writes, the ideal cover for terrible behavior."
4/27/18,Korea Talks Begin as Kim Jong-un Crosses to South’s Side of DMZ,"A meeting between Mr. Kim, North Korea’s leader, and President Moon Jae-in of South Korea seemed unthinkable just a few months ago."
4/27/18,"For Many, Life in Trump’s Orbit Ends in a Crash Landing",Proximity to President Trump has been a crushing experience for many who arrived with stellar careers and independent reputations yet ended up losing so much.
4/28/18,North and South Korea Set Bold Goals: A Final Peace and No Nuclear Arms,Kim Jong-un of North Korea and Moon Jae-in of the South agreed to work to formally end the Korean War and rid the peninsula of nuclear weapons.
4/28/18,Koreans Set the Table for a Deal That Trump Will Try to Close,"North and South Korea agreed to seek denuclearization of the Korean Peninsula, but President Trump and North Korea’s leader now have many details to iron out."
4/28/18,Plan to Storm Fence Gets Bloody Preview in Gaza,"After hundreds of Palestinian protesters attacked the fence between Israel and Gaza, Israeli troops opened fire, killing four and wounding hundreds."
4/28/18,"The Golden State Killer Is Tracked Through a Thicket of DNA, and Experts Shudder",The arrest of a suspect has set off alarms among some scientists and ethicists worried that consumer DNA may be widely accessed by law enforcement.
4/29/18,Trump’s Role in Midterm Elections Roils Republicans,G.O.P. leaders and White House aides are trying to prepare the president for trouble in House and Senate races. But he is rejecting their grim prognoses and wants to start campaigning.
4/29/18,"As Two Koreas Talk Peace, Trump’s Bargaining Chips Slip Away",The overtures between North and South Korea will inevitably erode crippling economic sanctions and make it harder for President Trump to threaten military action.
4/29/18,"At Nike, Revolt Led by Women Leads to Exodus of Male Executives","Complaints about bad behavior by men and a lack of advancement for women long went ignored, employees said, but now change seems to be afoot."
4/29/18,The Golden State Killer Left a Trail of Horror With Taunts and Guile,How a serial rapist and murderer in California flaunted his power as well as his belief that he could elude accountability forever. He was wrong.
4/30/18,Kim Says He’d End North Korea Nuclear Pursuit for U.S. Truce,"South Korean officials said the North Korean leader, Kim Jong-un, had told them he would abandon his nuclear weapons if Washington ended the Korean War and promised nonaggression."
4/30/18,"Sprint and T-Mobile to Merge, in Bid to Remake Wireless Market",The two companies are betting that regulators will finally allow the American wireless market to shrink to just three national players.
4/30/18,Migrant Caravan of Asylum Seekers Reaches U.S. Border,"Hundreds of migrants who have traveled en masse through Mexico, drawing a furious response from President Trump, prepared to apply for asylum."
4/30/18,Injecting Drugs Can Ruin a Heart. How Many Second Chances Should a User Get?,"A life-threatening heart infection afflicts a growing number of people who inject opioids or meth. Costly surgery can fix it, but the addiction often goes unaddressed."
5/1/18,Mueller Has Dozens of Inquiries for Trump in Broad Quest on Russia Ties and Obstruction,The questions provide the most detailed look yet at the special counsel investigation and show an effort to learn about the president’s thinking.
5/1/18,Photojournalist Killed in Kabul Left a Legacy of Images,Shah Marai was Agence France-Presse’s chief photographer in Kabul. He supported five blind relatives as he focused his camera on the human suffering around him.
5/1/18,"White House Delays Tariffs on E.U., Canada and Mexico for 30 Days","President Trump will give Canada, Mexico and the European Union another 30-day reprieve from steel and aluminum tariffs, delaying punishing levies on key allies."
5/1/18,Israel Says Secret Files Detail Iran’s Nuclear Subterfuge,"Prime Minister Benjamin Netanyahu cited no evidence that Iran violated the nuclear deal, but the accusation may bolster the case for President Trump to pull out."
5/2/18,Why Answering Mueller’s Questions Could Be a Minefield for Trump,"President Trump’s lawyers have been trying to talk him out of agreeing to be interviewed by the special counsel. A list of questions shows why, legal experts said."
5/2/18,Israel’s Claims on Iran Divide Europe and U.S. on Merits of Nuclear Deal,The starkly divergent reactions suggested how the debate over the Iran deal was likely to play out should President Trump decide to reimpose sanctions on Tehran.
5/2/18,A Lobbyist Helped Scott Pruitt Plan a Morocco Trip. Then Morocco Hired the Lobbyist.,The head of the E.P.A. allowed a lobbyist friend to play an unusually influential role in setting his agenda during a visit in December.
5/2/18,"Tick and Mosquito Infections Spreading Rapidly, C.D.C. Finds","Rates of Lyme, Zika and exotic new diseases are soaring. Federal officials blame hotter weather, jet travel, forested suburbs and slow vaccine development."
5/3/18,Giuliani Says Trump Repaid Cohen for Stormy Daniels Hush Money,"The statement by Rudolph Giuliani contradicted the president, who has at times said that he was unaware of the payment to the actress, whose stage name is Stormy Daniels."
5/3/18,Trump Joins House Attacks Over Investigations,The president warned in a tweet that he may have to “use the powers granted to the Presidency and get involved” in the conflict between the lawmakers and the deputy attorney general.
5/3/18,Washington Redskins Cheerleaders Describe Topless Photo Shoot and Uneasy Night Out,"Men were granted up-close access to photo shoots on the beach when the women were nude, the cheerleaders said."
5/3/18,Teacher Pay Is So Low in Some U.S. School Districts That They’re Recruiting Overseas,"Citing a dearth of qualified local candidates, schools are increasingly turning to foreign educators in the Philippines to fill core teaching jobs."
5/4/18,Giuliani May Have Exposed Trump to New Legal and Political Perils,Some of the president’s advisers said they were surprised by the assertion that he reimbursed a lawyer who paid hush money to a porn actress who said she had an affair with Mr. Trump.
